Symbol,Name,Sector,Industry,Full Time Employees,Total ESG Risk score,Environment Risk Score,Governance Risk Score,Social Risk Score,Controversy Level,Controversy Score,ESG Risk Percentile,ESG Risk Level
FSLR,"First Solar, Inc.",Technology,Solar,6700.0,21.05,4.05,6.1,8.9,Unknown,2.0,32.0,Unknown
FITB,Fifth Third Bancorp,Financial Services,Banks - Regional,18657.0,16.8,1.2,7.5,8.1,Moderate Controversy Level,2.0,17.0,Low
FIS,"Fidelity National Information Services, Inc.",Technology,Information Technology Services,60000.0,17.5,4.1,5.2,8.2,Low Controversy Level,1.0,19.0,Low
FDX,Fedex Corporation,Industrials,Integrated Freight & Logistics,328000.0,19.7,5.7,5.6,8.4,Moderate Controversy Level,2.0,27.0,Low
FRT,Federal Realty Investment Trust,Real Estate,REIT - Retail,297.0,12.4,2.3,5.8,4.3,Low Controversy Level,1.0,4.0,Low
FAST,Fastenal Co,Industrials,Industrial Distribution,20935.0,24.7,9.3,7.1,8.3,Moderate Controversy Level,2.0,48.0,Medium
FICO,Fair Isaac Corporation,Technology,Software - Application,3550.0,21.05,4.05,6.1,8.9,Unknown,2.0,32.0,Unknown
FDS,Factset Research Systems,Financial Services,Financial Data & Stock Exchanges,12279.0,18.4,4.3,5.3,8.8,Low Controversy Level,1.0,22.0,Low
FFIV,"F5, Inc.",Technology,Software - Infrastructure,6077.0,17.1,4.1,5.4,7.6,Low Controversy Level,1.0,18.0,Low
XOM,Exxon Mobil Corporation,Energy,Oil & Gas Integrated,62000.0,41.6,23.1,8.5,10.0,Significant Controversy Level,3.0,93.0,Severe
EXR,"Extra Space Storage, Inc.",Real Estate,REIT - Industrial,7618.0,15.2,4.2,7.3,3.7,Low Controversy Level,1.0,12.0,Low
EXPD,"Expeditors International of Washington, Inc.",Industrials,Integrated Freight & Logistics,18403.0,16.6,4.2,4.8,7.6,Moderate Controversy Level,2.0,16.0,Low
EXPE,"Expedia Group, Inc.",Consumer Cyclical,Travel Services,17100.0,27.6,4.3,10.1,13.3,Moderate Controversy Level,2.0,60.0,Medium
EXC,Exelon Corporation,Utilities,Utilities - Regulated Electric,19962.0,22.9,7.4,6.4,9.1,Significant Controversy Level,3.0,39.0,Medium
ES,Eversource Energy,Utilities,Utilities - Regulated Electric,10000.0,18.6,4.7,5.4,8.6,Moderate Controversy Level,2.0,23.0,Low
EVRG,"Evergy, Inc.",Utilities,Utilities - Regulated Electric,4658.0,21.05,4.05,6.1,8.9,Unknown,2.0,32.0,Unknown
EG,"Everest Group, Ltd.",Financial Services,Insurance - Reinsurance,2844.0,18.0,1.4,9.9,6.7,Low Controversy Level,1.0,20.0,Low
ETSY,"Etsy, Inc.",Consumer Cyclical,Internet Retail,2420.0,21.05,4.05,6.1,8.9,Unknown,2.0,32.0,Unknown
ESS,"Essex Property Trust, Inc",Real Estate,REIT - Residential,1747.0,12.4,3.5,6.1,2.8,Low Controversy Level,1.0,6.0,Low
EQR,Equity Residential,Real Estate,REIT - Residential,2400.0,11.9,3.0,6.1,2.9,Low Controversy Level,1.0,5.0,Low
EQIX,"Equinix, Inc. Reit",Real Estate,REIT - Specialty,13354.0,13.9,3.4,5.1,5.3,Low Controversy Level,1.0,9.0,Low
EFX,"Equifax, Incorporated",Industrials,Consulting Services,15000.0,23.2,0.1,6.8,16.3,Significant Controversy Level,3.0,41.0,Medium
EQT,Eqt Corp,Energy,Oil & Gas E&P,881.0,35.7,17.7,7.9,10.1,Low Controversy Level,1.0,85.0,High
EPAM,"Epam Systems, Inc.",Technology,Information Technology Services,53150.0,21.05,4.05,6.1,8.9,Unknown,2.0,32.0,Unknown
EOG,"Eog Resources, Inc.",Energy,Oil & Gas E&P,3050.0,34.2,20.2,7.3,6.7,Low Controversy Level,1.0,81.0,High
ETR,Entergy Corporation,Utilities,Utilities - Regulated Electric,12000.0,26.7,14.0,5.3,7.3,Moderate Controversy Level,2.0,56.0,Medium
EMR,Emerson Electric Co.,Industrials,Specialty Industrial Machinery,67000.0,28.4,8.8,6.6,13.1,Low Controversy Level,1.0,62.0,Medium
LLY,Eli Lilly & Co.,Healthcare,Drug Manufacturers - General,43000.0,24.3,2.5,9.1,12.6,Moderate Controversy Level,2.0,46.0,Medium
ELV,"Elevance Health, Inc.",Healthcare,Healthcare Plans,104900.0,11.4,0.1,5.3,6.0,Moderate Controversy Level,2.0,4.0,Low
EA,Electronic Arts Inc,Communication Services,Electronic Gaming & Multimedia,13700.0,13.3,0.1,4.7,8.4,Moderate Controversy Level,2.0,7.0,Low
EW,Edwards Lifesciences Corp,Healthcare,Medical Devices,19800.0,18.6,2.9,7.6,8.1,Low Controversy Level,1.0,23.0,Low
EIX,Edison International,Utilities,Utilities - Regulated Electric,13003.0,27.5,11.0,5.1,11.4,Significant Controversy Level,3.0,59.0,Medium
ECL,"Ecolab, Inc.",Basic Materials,Specialty Chemicals,48000.0,19.9,8.5,5.3,6.1,Moderate Controversy Level,2.0,27.0,Low
EBAY,Ebay Inc,Consumer Cyclical,Internet Retail,12300.0,17.6,2.7,7.2,7.7,Moderate Controversy Level,2.0,19.0,Low
ETN,"Eaton Corporation, Plcs",Industrials,Specialty Industrial Machinery,94000.0,17.9,5.5,5.7,6.8,Low Controversy Level,1.0,20.0,Low
